Company Name,Stock Symbol,Sector,Subsector,Listing Date,,,,
Metro Alliance Holdings & Equities Corp.,MAH,Services,Transportation Services,8 December 1947,,,,
Metro Global Holdings Corporation,MGH,Holding Firms,Holding Firms,4 May 1964,,,,
Metro Pacific Investments Corporation,MPI,Holding Firms,Holding Firms,15 December 2006,,,,
"Metro Retail Stores Group, Inc.",MRSGI,Services,Retail,24 November 2015,,,,
Metropolitan Bank & Trust Company,MBT,Financials,Banks,26 February 1981,,,,
"Millennium Global Holdings, Inc.",MG,Industrial,"Food, Beverage & Tobacco",1 March 1976,,,,
National Reinsurance Corporation of the Philippines,NRCP,Financials,Other Financial Institutions,27 April 2007,,,,
NextGenesis Corporation,NXGEN,Financials,Banks,8 October 1996,,,,
"NiHAO Mineral Resources International, Inc.",NI,Mining and Oil,Mining,3 October 1990,,,,
Nickel Asia Corporation,NIKL,Mining and Oil,Mining,22 November 2010,,,,
Now Corporation,NOW,Services,Information Technology,23 July 2003,,,,
Omico Corporation,OM,Mining and Oil,Mining,2 May 1969,,,,
"Oriental Peninsula Resources Group, Inc.",ORE,Mining and Oil,Mining,19 December 2007,,,,
Oriental Petroleum and Minerals Corporation,OPM,Mining and Oil,Oil,14 October 1970,,,,
"PAL Holdings, Inc.",PAL,Services,Transportation Services,4 January 1954,,,,
"PICOP Resources, Inc.",PCP,Industrial,Other Industrials,29 October 1973,,,,
PLDT Inc.,TEL,Services,Telecommunications,17 Sep 1953,,,,
PTFC Redevelopment Corporation,TFC,Property,Property,19 December 1955,,,,
Pacific Online Systems Corporation,LOTO,Services,Casinos & Gaming,12 April 2007,,,,
"Pacifica, Inc.",PA,Holding Firms,Holding Firms,23 November 1959,,,,
Panasonic Manufacturing Philippines Corporation,PMPC,Industrial,Electrical Components & Equipment,21 January 1983,,,,
"Paxys, Inc.",PAX,Services,Other Services,22 March 1971,,,,
"Pepsi-Cola Products Philippines, Inc.",PIP,Industrial,"Food, Beverage & Tobacco",1 February 2008,,,,
PetroEnergy Resources Corporation,PERC,Mining and Oil,Oil,11 August 2004,,,,
Petron Corporation,PCOR,Industrial,"Electricity, Energy, Power & Water",7 Sep 1994,,,,
PhilWeb Corporation,WEB,Services,Information Technology,8 December 1969,,,,
Philcomsat Holdings Corporation,PHC,Services,Other Services,28 November 1958,,,,
Philex Mining Corporation,PX,Mining and Oil,Mining,23 November 1956,,,,
Philex Petroleum Corporation,PXP,Mining and Oil,Oil,12 Sep 2011,,,,
Philippine Bank of Communications,PBC,Financials,Banks,12 May 1988,,,,
Philippine Business Bank,PBB,Financials,Banks,19 February 2013,,,,
Philippine Estates Corporation,PHES,Property,Property,21 January 1985,,,,
Philippine H2O Ventures Corp.,H2O,Industrial,"Electricity, Energy, Power & Water",24 November 2011,,,,
Philippine National Bank,PNB,Financials,Banks,21 June 1989,,,,
Philippine National Construction Corporation,PNC,Industrial,"Construction, Infra. & Allied Services",13 March 1974,,,,
"Philippine Racing Club, Inc.",PRC,Services,Casinos & Gaming,2 March 1952,,,,
Philippine Realty and Holdings Corporation,RLT,Property,Property,7 Sep 1987,,,,
Philippine Savings Bank,PSB,Financials,Banks,10 October 1994,,,,
Philippine Seven Corporation,SEVN,Services,Retail,4 February 1998,,,,
Philippine Telegraph and Telephone Corporation,PTT,Services,Telecommunications,10 January 1990,,,,
Philippine Trust Company,PTC,Financials,Banks,17 February 1988,,,,
"GT Capital Holdings, Inc.",GTCAP,Holding Firms,Holding Firms,20 April 2012,,,,
"Ginebra San Miguel, Inc.",GSMI,Industrial,"Food, Beverage & Tobacco",18 April 1995,,,,
"Global Ferronickel Holdings, Inc.",FNI,Mining and Oil,Mining,14 December 1994,,,,
"Global-Estate Resorts, Inc.",GERI,Property,Property,23 November 1995,,,,
"Globalport 900, Inc.",PORT,Services,Transportation Services,9 June 1948,,,,
"Globe Telecom, Inc.",GLO,Services,Telecommunications,11 August 1975,,,,
"Golden Haven Memorial Park, Inc.",HVN,Services,Other Services,29 June 2016,,,,
Grand Plaza Hotel Corporation,GPH,Services,Hotel & Leisure,10 December 1992,,,,
Greenergy Holdings Incorporated,GREEN,Industrial,Electrical Components & Equipment,26 Sep 1996,,,,
"Harbor Star Shipping Services, Inc. ",TUGS,Services,Transportation Services,30 October 2013,,,,
"Holcim Philippines, Inc.",HLCM,Industrial,"Construction, Infra. & Allied Services",17 June 1996,,,,
"House of Investments, Inc.",HI,Holding Firms,Holding Firms,2 July 1962,,,,
"I-Remit, Inc.",I,Financials,Other Financial Institutions,17 October 2007,,,,
"IP E-Game Ventures, Inc.",EG,Services,Casinos & Gaming,17 February 2010,,,,
"IPM Holdings, Inc.",IPM,Services,Other Services,17 June 1998,,,,
"IRC Properties, Inc.",IRC,Property,Property,27 February 1978,,,,
ISM Communications Corporation,ISM,Services,Information Technology,1 October 1975,,,,
"Imperial Resources, Inc.",IMP,Services,Information Technology,31 August 1970,,,,
"Integrated Micro-Electronics, Inc.",IMI,Industrial,Electrical Components & Equipment,21 January 2010,,,,
"International Container Terminal Services, Inc.",ICT,Services,Transportation Services,23 March 1992,,,,
"Ionics, Inc.",ION,Industrial,Electrical Components & Equipment,18 July 1995,,,,
"Island Information & Technology, Inc.",IS,Services,Information Technology,9 February 1970,,,,
Italpinas Development Corporation,IDC,"Small, Medium & Emerging Board","Small, Medium & Emerging Board",7 December 2015,,,,
"JG Summit Holdings, Inc.",JGS,Holding Firms,Holding Firms,9 August 1993,,,,
"Jackstones, Inc.",JAS,Services,Information Technology,27 October 1967,,,,
Jollibee Foods Corporation,JFC,Industrial,"Food, Beverage & Tobacco",14 July 1993,,,,
Jolliville Holdings Corporation,JOH,Holding Firms,Holding Firms,17 June 2002,,,,
"Keppel Philippines Holdings, Inc.",KPH,Holding Firms,Holding Firms,26 August 1987,,,,
"Keppel Philippines Properties, Inc.",KEP,Property,Property,11 Sep 1989,,,,
"LBC Express Holdings, Inc.",LBC,Services,Transportation Services,21 December 2001,,,,
LMG Chemicals Corporation,LMG,Industrial,Chemicals,7 January 1986,,,,
"LT Group, Inc.",LTG,Holding Firms,Holding Firms,7 November 1947,,,,
Leisure & Resorts World Corporation,LR,Services,Casinos & Gaming,17 April 1958,,,,
Lepanto Consolidated Mining Company,LC,Mining and Oil,Mining,30 April 1947,,,,
"Liberty Flour Mills, Inc.",LFM,Industrial,"Food, Beverage & Tobacco",24 January 1966,,,,
"Liberty Telecoms Holdings, Inc.",LIB,Services,Telecommunications,17 October 1994,,,,
Lodestar Investment Holdings Corporation,LIHC,Holding Firms,Holding Firms,26 May 1989,,,,
Lopez Holdings Corporation,LPZ,Holding Firms,Holding Firms,25 November 1993,,,,
Lorenzo Shipping Corporation,LSC,Services,Transportation Services,22 July 1996,,,,
"MEDCO Holdings, Inc.",MED,Financials,Other Financial Institutions,18 November 1975,,,,
MJC Investments Corporation,MJIC,Holding Firms,Holding Firms,11 November 1955,,,,
"MRC Allied, Inc.",MRC,Property,Property,18 May 1995,,,,
Mabuhay Holdings Corporation,MHC,Holding Firms,Holding Firms,22 October 1990,,,,
Mabuhay Vinyl Corporation,MVC,Industrial,Chemicals,5 February 1997,,,,
"Macay Holdings, Inc.",MACAY,Industrial,"Food, Beverage & Tobacco",28 January 1987,,,,
MacroAsia Corporation,MAC,Services,Transportation Services,21 May 1970,,,,
Makati Finance Corporation,MFIN,"Small, Medium & Emerging Board","Small, Medium & Emerging Board",6 January 2003,,,,
Manila Broadcasting Company,MBC,Services,Media,8 October 1949,,,,
Manila Bulletin Publishing Corporation,MB,Services,Media,18 April 1990,,,,
Manila Electric Company,MER,Industrial,"Electricity, Energy, Power & Water",8 January 1992,,,,
"Cemex Holdings Philippines, Inc.",CHP,Industrial,"Construction, Infrastructure & Allied Services",18 July 2016,,,,
"Central Azucarera de Tarlac, Inc.",CAT,Industrial,"Food, Beverage & Tobacco",12 April 1977,,,,
Centro Escolar University,CEU,Services,Education,10 November 1986,,,,
"Century Pacific Food, Inc.",CNPF,Industrial,"Food, Beverage & Tobacco",6 May 2014,,,,
Century Peak Metals Holdings Corporation,CPM,Mining and Oil,Mining,6 October 2009,,,,
"Century Properties Group, Inc.",CPG,Property,Property,16 June 1976,,,,
"Chemical Industries of the Philippines, Inc.",CIP,Industrial,Chemicals,21 November 1985,,,,
China Banking Corporation,CHIB,Financials,Banks,1 December 1965,,,,
Cirtek Holdings Philippines Corporation,TECH,Industrial,Electrical Components & Equipment,18 November 2011,,,,
"City & Land Developers, Incorporated",LAND,Property,Property,13 December 1999,,,,
Cityland Development Corporation,CDC,Property,Property,2 August 1983,,,,
"Citystate Savings Bank, Inc.",CSB,Financials,Banks,3 January 2002,,,,
Coal Asia Holdings Incorporated,COAL,Mining and Oil,Mining,23 October 2012,,,,
Concepcion Industrial Corporation ,CIC,Industrial,Electrical Components & Equipment,27 November 2013,,,,
Concrete Aggregates Corporation,CA,Industrial,"Construction, Infra. & Allied Services",2 April 1973,,,,
"Cosco Capital, Inc.",COSCO,Holding Firms,Holding Firms,26 Sep 1988,,,,
Crown Asia Chemicals Corporation ,CROWN,Industrial,Chemicals,27 April 2015,,,,
"Crown Equities, Inc.",CEI,Property,Property,16 August 1994,,,,
Cyber Bay Corporation,CYBR,Property,Property,19 March 1991,,,,
"D&L Industries, Inc.",DNL,Industrial,"Food, Beverage & Tobacco",12 December 2012,,,,
"DFNN, Inc.",DFNN,Services,Information Technology,30 October 2000,,,,
"DMCI Holdings, Inc.",DMC,Holding Firms,Holding Firms,18 December 1995,,,,
"Da Vinci Capital Holdings, Inc.",DAVIN,Industrial,"Construction, Infra. & Allied Services",3 Sep 1991,,,,
Del Monte Pacific Limited,DMPL,Industrial,"Food, Beverage & Tobacco",10 June 2013,,,,
Discovery World Corporation ,DWC,Services,Hotel & Leisure,21 November 2013,,,,
"Dizon Copper-Silver Mines, Inc.",DIZ,Mining and Oil,Mining,10 February 1988,,,,
DoubleDragon Properties Corp.,DD,Property,Property,7 April 2014,,,,
EEI Corporation,EEI,Industrial,"Construction, Infra. & Allied Services",21 July 1975,,,,
East West Banking Corporation,EW,Financials,Banks,7 May 2012,,,,
"EasyCall Communications Philippines, Inc.",ECP,Services,Other Services,5 May 1992,,,,
Emperador Inc.,EMP,Industrial,"Food, Beverage & Tobacco",19 December 2011,,,,
"Empire East Land Holdings, Inc.",ELI,Property,Property,28 June 1996,,,,
Energy Development Corporation,EDC,Industrial,"Electricity, Energy, Power & Water",13 December 2006,,,,
"Euro-Med Laboratories Phil., Inc.",EURO,Industrial,Chemicals,2 July 1998,,,,
"Ever-Gotesco Resources and Holdings, Inc.",EVER,Property,Property,16 Sep 1996,,,,
"Export and Industry Bank, Inc.",EIBA,Financials,Banks,28 January 1987,,,,
F & J Prince Holdings Corporation,FJP,Holding Firms,Holding Firms,8 December 1982,,,,
"Far Eastern University, Incorporated",FEU,Services,Education,11 July 1986,,,,
Filinvest Development Corporation,FDC,Holding Firms,Holding Firms,22 December 1982,,,,
"Filinvest Land, Inc.",FLI,Property,Property,25 October 1993,,,,
"Filipino Fund, Inc.",FFI,Financials,Other Financial Institutions,27 Sep 1995,,,,
Filsyn Corporation,FYN,Industrial,Other Industrials,3 June 1975,,,,
First Abacus Financial Holdings Corporation,FAF,Financials,Other Financial Institutions,17 November 1994,,,,
First Gen Corporation,FGEN,Industrial,"Electricity, Energy, Power & Water",10 February 2006,,,,
"First Metro Philippine Equity Exchange Traded Fund, Inc.",FMETF,ETF-Equity,ETF-Equity,2 December 2013,,,,
First Philippine Holdings Corporation,FPH,Industrial,"Electricity, Energy, Power & Water",23 May 1963,,,,
"Forum Pacific, Inc.",FPI,Holding Firms,Holding Firms,19 December 1994,,,,
"GEOGRACE Resources Philippines, Inc.",GEO,Mining and Oil,Mining,7 February 1972,,,,
"GMA Holdings, Inc.",GMAP,Services,Media,30 July 2007,,,,
"GMA Network, Inc.",GMA7,Services,Media,30 July 2007,,,,
"2GO Group, Inc.",2GO,Services,Transportation Services,15 May 1995,,,,
"8990 Holdings, Inc.",HOUSE,Property,Property,9 December 2010,,,,
"A Brown Company, Inc.",BRN,Property,Property,8 February 1994,,,,
A. Soriano Corporation,ANS,Holding Firms,Holding Firms,25 October 1973,,,,
ABS-CBN Corporation,ABS,Services,Media,8 July 1992,,,,
ABS-CBN Holdings Corporation,ABSP,Services,Media,7 October 1999,,,,
"AG Finance, Incorporated",AGF,Financials,Other Financial Institutions,13 August 2013,,,,
"APC Group, Inc.",APC,Services,Other Services,8 March 1994,,,,
"ATN Holdings, Inc.",ATN,Holding Firms,Holding Firms,24 Sep 1970,,,,
"AbaCore Capital Holdings, Inc.",ABA,Holding Firms,Holding Firms,28 October 1987,,,,
"Aboitiz Equity Ventures, Inc.",AEV,Holding Firms,Holding Firms,16 November 1994,,,,
Aboitiz Power Corporation,AP,Industrial,"Electricity, Energy, Power & Water",16 July 2007,,,,
Abra Mining and Industrial Corporation,AR,Mining and Oil,Mining,24 December 1969,,,,
Acesite (Phils.) Hotel Corporation,ACE,Services,Hotel & Leisure,5 December 1986,,,,
"AgriNurture, Inc.",ANI,Industrial,"Food, Beverage & Tobacco",25 May 2009,,,,
"Alliance Global Group, Inc.",AGI,Holding Firms,Holding Firms,19 April 1999,,,,
"Alliance Select Foods International, Inc.",FOOD,Industrial,"Food, Beverage & Tobacco",8 November 2006,,,,
Allied Banking Corporation,ABC,Financials,Banks,4 June 1982,,,,
"Alsons Consolidated Resources, Inc.",ACR,Industrial,"Electricity, Energy, Power & Water",12 April 1993,,,,
"Alterra Capital Partners, Inc.",ALT,"Small, Medium & Emerging Board","Small, Medium & Emerging Board",3 Sep 2009,,,,
"Anchor Land Holdings, Inc.",ALHI,Property,Property,8 August 2007,,,,
Anglo Philippine Holdings Corporation,APO,Holding Firms,Holding Firms,31 July 1959,,,,
"Apex Mining Co., Inc.",APX,Mining and Oil,Mining,7 March 1974,,,,
"Araneta Properties, Inc.",ARA,Property,Property,14 November 1989,,,,
Arthaland Corporation,ALCO,Property,Property,19 March 1996,,,,
Asia Amalgamated Holdings Corporation,AAA,Holding Firms,Holding Firms,22 March 1973,,,,
